/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([50])) that is different to the input size (torch.Size([50, 50, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
{'epoch': 0, 'batch': 0, 'loss': 0.1732473075389862}
{'epoch': 0, 'batch': 30, 'loss': 0.0}
{'epoch': 0, 'batch': 60, 'loss': 0.015197061002254486}
{'epoch': 0, 'batch': 90, 'loss': 0.005514221731573343}
{'epoch': 0, 'batch': 120, 'loss': 0.00014071445912122726}
{'epoch': 0, 'batch': 150, 'loss': 0.17321813106536865}
{'epoch': 0, 'batch': 180, 'loss': 0.0}
{'epoch': 0, 'batch': 210, 'loss': 0.015971383079886436}
{'epoch': 0, 'batch': 240, 'loss': 0.01822778768837452}
{'epoch': 0, 'batch': 270, 'loss': 0.0024162274785339832}
{'epoch': 0, 'batch': 300, 'loss': 0.0004536029591690749}
{'epoch': 0, 'batch': 330, 'loss': 0.016407426446676254}
{'epoch': 0, 'batch': 360, 'loss': 0.0}
{'epoch': 0, 'batch': 390, 'loss': 0.0}
{'epoch': 0, 'batch': 420, 'loss': 0.0}
{'epoch': 0, 'batch': 450, 'loss': 0.0009131419938057661}
{'epoch': 0, 'batch': 480, 'loss': 0.0}
{'epoch': 0, 'batch': 510, 'loss': 0.012952686287462711}
{'epoch': 0, 'batch': 540, 'loss': 0.0}
{'epoch': 0, 'batch': 570, 'loss': 0.0}
{'epoch': 0, 'batch': 600, 'loss': 0.0}
{'epoch': 0, 'batch': 630, 'loss': 0.0}
{'epoch': 0, 'batch': 660, 'loss': 0.0}
{'epoch': 0, 'batch': 690, 'loss': 0.0}
{'epoch': 0, 'batch': 720, 'loss': 0.0}
{'epoch': 0, 'batch': 750, 'loss': 0.0}
{'epoch': 0, 'batch': 780, 'loss': 0.0}
{'epoch': 0, 'batch': 810, 'loss': 0.0}
{'epoch': 0, 'batch': 840, 'loss': 0.0}
{'epoch': 0, 'batch': 870, 'loss': 0.0}
{'epoch': 0, 'batch': 900, 'loss': 0.0}
{'epoch': 0, 'batch': 930, 'loss': 0.0}
{'epoch': 0, 'batch': 960, 'loss': 0.006057734601199627}
{'epoch': 0, 'batch': 990, 'loss': 0.0}
{'epoch': 0, 'batch': 1020, 'loss': 0.0}
{'epoch': 0, 'batch': 1050, 'loss': 0.0005275380681268871}
{'epoch': 0, 'batch': 1080, 'loss': 0.012133668176829815}
{'epoch': 0, 'batch': 1110, 'loss': 0.0}
{'epoch': 0, 'batch': 1140, 'loss': 0.0}
{'epoch': 0, 'batch': 1170, 'loss': 0.0}
{'epoch': 0, 'batch': 1200, 'loss': 0.0}
{'epoch': 0, 'batch': 1230, 'loss': 0.0}
{'epoch': 0, 'batch': 1260, 'loss': 0.0}
{'epoch': 0, 'batch': 1290, 'loss': 0.0040936958976089954}
{'epoch': 0, 'batch': 1320, 'loss': 0.0}
{'epoch': 0, 'batch': 1350, 'loss': 0.0}
{'epoch': 0, 'batch': 1380, 'loss': 0.0}
{'epoch': 0, 'batch': 1410, 'loss': 0.0}
{'epoch': 0, 'batch': 1440, 'loss': 0.0}
{'epoch': 0, 'batch': 1470, 'loss': 0.0}
{'epoch': 0, 'batch': 1500, 'loss': 0.0}
{'epoch': 0, 'batch': 1530, 'loss': 0.0}
{'epoch': 0, 'batch': 1560, 'loss': 0.0}
{'epoch': 0, 'batch': 1590, 'loss': 0.0}
{'epoch': 0, 'batch': 1620, 'loss': 0.0}
{'epoch': 0, 'batch': 1650, 'loss': 0.0}
{'epoch': 0, 'batch': 1680, 'loss': 0.004989509470760822}
{'epoch': 0, 'batch': 1710, 'loss': 0.2819025218486786}
{'epoch': 0, 'batch': 1740, 'loss': 0.0010586358839645982}
{'epoch': 0, 'batch': 1770, 'loss': 0.004697700962424278}
{'epoch': 0, 'batch': 1800, 'loss': 0.0}
{'epoch': 0, 'batch': 1830, 'loss': 0.0}
{'epoch': 0, 'batch': 1860, 'loss': 0.0}
{'epoch': 0, 'batch': 1890, 'loss': 0.0}
{'epoch': 0, 'batch': 1920, 'loss': 0.0}
{'epoch': 0, 'batch': 1950, 'loss': 0.0008064726716838777}
{'epoch': 0, 'batch': 1980, 'loss': 0.0}
{'epoch': 0, 'batch': 2010, 'loss': 0.0}
{'epoch': 0, 'batch': 2040, 'loss': 0.02586357854306698}
{'epoch': 0, 'batch': 2070, 'loss': 0.0}
{'epoch': 0, 'batch': 2100, 'loss': 5.505341323441826e-05}
{'epoch': 0, 'batch': 2130, 'loss': 0.0}
{'epoch': 0, 'batch': 2160, 'loss': 0.0}
{'epoch': 0, 'batch': 2190, 'loss': 0.0}
{'epoch': 0, 'batch': 2220, 'loss': 0.003252364695072174}
